Annotator 1,Annotator 2,Text
Positive,Positive,"I am voting early and in person.

What’s your voting plan?"
Positive,Neutral," Hey there - this event and my involvement was presented to my team differently from how it’s now being promoted.

Thanks for pointing it out. Taking a look into this now."
Positive,Neutral,"There’s no questionnaire about symptoms, no requirement to report to the House physician if we are experiencing symptoms, no temperature check upon arrival to DC, nothing.

Then we all get on planes and travel back to our communities, often twice a week. It’s dangerous."
Positive,Positive,"RT : SKIMS is launching at  this Monday, October 5 in London, Manchester, and Birmingham!

Be the first to shop and experi…"
Negative,Positive,Yes! I am going to start studying soon 📚 https://t.co/HiLMVbNNjI
Neutral,Positive,"Money doesn’t have to buy your vote.

Each time you look past the flood of TV commercials, scammy Facebook posts and angry mailers to verify the claims you see &amp; think critically, you help fight the corrupting tide of money in politics.

Here’s how ⬇️
https://t.co/TkHTr9zr7C"
Positive,Negative,"The HEROES Act the House passed months ago covers several (but not all) of these points.

GOP Senators, pledging allegiance to Mitch McConnell, have intentionally sat on this bill &amp; did nothing.

People are starving. Babies are sleeping on car floors. Where is the needed urgency?"
Positive,Neutral,"So what IS the Green New Deal, anyway? https://t.co/hqjMSpgxDg"
Positive,Neutral,"(And btw - if they give a substantive answer to open a conversation, great! But words matter a great deal in moments like these, and we shouldn’t simply repeat them without giving real thought to understanding why)"
Positive,Positive,"Pence demanding that Harris answer *his* own personal questions when he won’t even answer the moderator’s is gross, and exemplary of the gender dynamics so many women have to deal with at work."
Neutral,Neutral,What a beautiful story. https://t.co/7VHOdiJxkQ
Positive,Positive,"We have lost a giant in the history of our nation with the passing of Ruth Bader Ginsburg.

It is heartbreaking that in her final moments she was, as are many others, preoccupied with what would happen after her passing.

I want to make one thing clear: we can, and must, fight. https://t.co/QEDDFtSwmK"
Positive,Positive,"Aggressive, overreaching wealth redistribution *does* happen in the United States, it just happens in the opposite direction conservatives scream about: our system takes money away from everyday people and siphons it towards the profanely wealthy. ⬇️ https://t.co/O4KqY3Z8Fz"
Positive,Positive,"Now is not the time for cynicism or hopelessness. There is and continues to be political possibility to preserve our democracy &amp; move forward.

It will require each &amp; every one of us, from the streets to the Senate, to grow in courage, strength, and strategy. But it is possible."
Neutral,Positive,RT : Always worth repeating: Women politicians are far more likely than male counterparts to be threatened and denigrated online.…
Positive,Positive,"NBA players are courageously on strike (withholding labor), NOT boycotting (withholding their $ /purchase). The diff is important bc it shows their power as *workers.*

The courage this takes is profound. WNBA organizing in this moment MUST be recognized too. #StrikeForBlackLives https://t.co/QfsJAHLVLx"
Neutral,Neutral,Remember when I said this over a year ago and it was treated as a highly controversial statement https://t.co/qydDKX8eT4
Neutral,Positive,BTW  and  would fight like this as kids all the time!!!! It really took me back #KUWTK
Positive,Positive,"These women are my lifeline. I wouldn’t have been able to survive this first term without their sisterhood.

Thank you  for giving us &amp; 22 activists space to champion Black maternal health, housing, civil rights and economic justice for all. https://t.co/OaE9eySCnh https://t.co/b1RWNeNIgg"
Positive,Neutral,"Massachusetts: You have one of the most progressive Senate delegations in the United States.

Today is the day to protect it &amp; champion a Green New Deal👷🏼‍♂️🌎👩🏾‍🌾

🗳 VOTE  for US Senate 🗳 
#GreenNewDealmaker
https://t.co/E1ajyqEtiM"
Positive,Neutral,"Thanks so much to  for launching this ground breaking project and to all the International titles who got on board , Italy, Mexico, Middle East, Slovenia, India, Nederland, Germany, Morocco, Australia, Latin America https://t.co/mwzxpxM9eg"
Positive,Neutral,"Fracking is bad, actually"
Negative,Neutral, Happy early birthday!
Positive,Positive,"Our first, no 1 priority is to do everything possible to secure electoral college victory in Nov. 

This is the fight of and for our lives. That has always been true, &amp; it becomes more true each day.

Opponents of democracy need your resignation to succeed. Don’t give it to them."
Positive,Neutral,"Believe me, I too wish that a little carbon tax here &amp;a little fuel efficiency there would solve this.

There was a time in the early 90s where those policies could’ve made an enormous difference. But our leadership failed &amp; ran out the clock. Now we need WWII-level mobilization."
Neutral,Neutral,"Congratulations  - yours is a victory for the progressive movement, for 21st century policy, and for the Green New Deal 🌎

THANK YOU to every single voter, supporter, organizer, grassroots donor, &amp; everyday person who helped make this happen. This win belongs to you 💚 https://t.co/pzzr8IAuH2"
Negative,Neutral,  I got you! 💪🏽💜
Positive,Positive,"You do not need to, nor should you, ignore your fears - there is plenty to be afraid of - but we have possibilities before us.

We can win, we can succeed, but we cannot do it alone. We will need the people.

We must get to work.
Everyone matters.
Everyone has something to give."
Positive,Positive,"I’m so honored to be the first ever global cover star of GRAZIA. From the UK to Italy, the Middle East to India, I’m greatful to be able to bring SKIMS to everywoman, everywhere. https://t.co/XV5tlsSogo"
Negative,Positive,Love my sisters and brother no matter what      Family Over Everything
Neutral,Positive,  Thank you ! It’s been wonderful working on FSC with you.
Negative,Positive,  So cute!
Positive,Positive,"RT : COVID is having a domino effect in the Capitol, and we need transparency and tracing.

3 GOP Senators have already tested p…"
Positive,Neutral,Why is it that Mike Pence doesn’t seem to have to answer any of the questions asked of him in this debate?
Positive,Neutral,"Hey you!

You matter. You count.

And we need to count YOU to determine the next 10 years of school funding, elected representation, and so much more.

Please take 5 minutes right now to fill out your census and pass on to your friends: https://t.co/Yug5BgrWYg https://t.co/gbxjNMBq8j"
Negative,Positive, Congratulations. Proud of you and your grandmother!
Neutral,Neutral,"I must say, Ted Cruz making poorly executed memes while riding in the quiet car of the White Supremacist Express is pretty on brand for both him and 2020 https://t.co/cqWKxHFKs9"
Negative,Neutral, Have a good night 🤍
Neutral,Neutral,"Your cover title is wrong.

You need to change it to STRIKE. https://t.co/zur1HmkEHy"
Positive,Positive,"The fact of the matter is the United States has engaged in a program of mass human rights violations targeting immigrants.

This includes mass child separation, systemic sexual assault of people in detention, kangaroo-court procedures, &amp; more.

Our country must atone for it all. https://t.co/KaacDaww5t"
Negative,Neutral,RT : Palm Springs here we come! #KUWTK
Neutral,Neutral," Thanks , I know how seriously you take your service and restoring the integrity of our legislative process - means a lot."
Neutral,Neutral,"Today in my IG story:

How the Black Panthers’ People’s Free Food Program led to Free &amp; Reduced School meal policies nationwide (and inspired #TeamAOC’s COVID food relief operation in 2020) 🥗 https://t.co/tfjNq3kiZ8"
Neutral,Positive,"The nerve of people who ask “how are you going to pay for it?” whenever we propose building advanced public education, healthcare, &amp; climate infrastructure yet defend a system where Trump pays $750 in taxes and Amazon pays none is beyond me."
Positive,Positive,"RT : The USPS had a plan to send 5 reusable facemarks to every household in early April. Even had a press release ready.

The White…"
Positive,Neutral,"Donald Trump is a white supremacist.

People have been warning about this for a long time.

They were ridiculed, called hyperbolic &amp; radical - not bc they were wrong, but bc others couldn’t accept that our country elected a supremacist as President.

This is fascism at our door. https://t.co/sahloCJt25"
Negative,Positive,Love when all of the family make it to Palm Springs!!! #KUWTK
Negative,Neutral,Want to learn a bit about how I prep for hearings? Check out my IG stories 🤗 https://t.co/Tmr2WckLfd
Positive,Neutral,Honestly elephants deserve so much better than to be a mascot for this
Positive,Neutral,"RT : Tonight!

Rep. Alexandria Ocasio-Cortez will be Rachel Maddow's guest.

9pm ET on MSNBC! https://t.co/047L6nhjB8"
